source	target	freq
اختفائه	ikhtifāʼih	1
بومولة	Būmūlah	1
بومهلة	Būmahlah	1
اختفت	ikhtafat	1
بوليف	Bū	1
بومبيوس	Būmbiyūs	1
اختفى	ikhtafá	1
بوما	Būmā	1
بولينغ	Būlīngh	1
الأشخر	al-Ashkhar	1
بالعدل	bi-al-ʻadl	1
المعلمون	al-muʻallimūn	1
اختصاصاتها	ikhtiṣāṣātuhā	1
بالعثمانيين	bi-al-ʻUthmānīyīn	1
المعطوبة	al-maʻṭūbah	1
اختصاصات	Ikhtiṣāṣāt	1
المعطى	al-Muʻṭī	1
بيارجمندي	Biyārjumandī	1
بياتى	Bayātī	1
بياتنة	Bayātinah	1
اختصاصي	ikhtiṣāṣī	1
بالعجائب	bi-al-ʻajāʼib	1
اختصت	ikhtaṣṣat	1
بيئيا	bīʼīyan	1
بيارة	bayyārat	1
بالعترة	bi-al-ʻitrah	1
بيئى	bīʼī	1
بياليك	Bialik	1
الأشرم	al-Ashram	1
اختصارا	ikhtiṣāran	1
بيالي	Biyalī	1
بيافا	bi-Yāfā	1
بياع	Bayyāʻ	1
بالعباسية	bi-al-ʻAbbāsīyah	1
بياضي	Bayāḍī	1
بياضات	Bayāḍāt	1
اختصاره	ikhtiṣārihi	1
بيئي	bīʼī	1
بيئتها	bīʼatihā	1
المعقب	al-muʻaqqib	1
بويعلي	Būyaʻlī	1
بىطار	Bayṭār	1
بىروت	Bayrūt	1
بىدار	Bīdār	1
بىات	Bayāt	1
بى	Bī	1
بوّاب	Bawwāb	1
بويه	Buwayh	1
المعظمة	al-muʻaẓẓamah	1
الأشرعة	al-Ashriʻah	1
بويطي	Buwayṭī	1
بويصير	Būyaṣīr	1
المعظمى	al-ʻUẓmá	1
بويجرة	Būyjrah	1
بويتيقا	biwītīqā	1
بىكتب	bi-Maktab	1
اختصر	ikhtaṣara	1
بيئاتها	bīʼātuhā	1
بيئاته	bīʼātuhu	1
بيئ̄ية	bīʼīyah	1
بيأدن	biyʼaddin	1
اختلاس	Ikhtlās	1
الأشري	al-Ashʻarī	1
بالعشماوي	bi-al-ʻAshmāwī	1
المعمريء	al-Maʻarrī	1
المعمرية	al-Muʻammarīyah	1
الأشاعر	al-Ashāʻir	1
بالعصر	bi-al-ʻaṣr	1
المعمم	al-Muʻammam	1
بوصىرى	Būṣīrī	1
بالعصور	bi-al-ʻUṣūr	1
المعمور	al-Maʻmūr	1
بوطان	Būṭān	1
اخر	ākhir	1
بوصفه	bi-waṣfihi	1
بوعرفة	Būʻarafah	1
بوعزيزي	Būʻazīzī	1
بوعزيز	Būʻazīz	1
بالعزب	bi-al-ʻAzab	1
المعمرون	al-Muʻammirūn	1
بوطيب	Būṭayyib	1
بوعباس	Bū-ʻAbbās	1
بوظائف	bi-waẓāʼif	1
بوصفها	bi-waṣfihā	1
المعماريون	al-Miʻmārīyūn	1
بالعطار	bi-al-ʻAṭṭār	1
بوشتا	Būshtā	1
بوشة	Būshah	1
بوشان	Būshān	1
المعنويات	al-maʻnawīyāt	1
بالعطاء	bi-al-ʻaṭāʼ	1
الأسيوطى	al-Asyūṭī	1
بوسىلۀ	ba-vasīlah-ʼi	1
بوسويت	Būsuwīt	1
بوسنيدة	Būsunaydah	1
اخرج	akhraja	1
بوشمال	Būshmāl	1
الأشاتذة	al-asātidhah	1
بوصافي	Būṣāfī	1
بوصادي	Būṣādī	1
بوشينسكي	Bochenski	1
بوشيبة	Būshaybah	1
المعموره	al-Maʻmūrah	1
بوشهر	Būshihr	1
الأسيوية	al-Āsīyawīyah	1
بوشنسكي	Būshnskī	1
المعنطرات	al-muqanṭarāt	1
بوشناق	Būshanāq	1
المعنم	al-Munʻim	1
بوشمة	Būshammah	1
بالعريش	bi-al-ʻArīsh	1
بولسي	Būlusī	1
اختلفنا	ikhtalafnā	1
الأشتهاردي	al-Ishtihārdī	1
بالعرشية	bi-al-ʿArshīyah	1
بوكو	Būkū	1
المعلولي	al-Maʻlūlī	1
بوكشوب	Būkshūb	1
بوكسباوم	Būksbāwm	1
اختناقات	Ikhtināqāt	1
الأشتباه	al-ishtibāh	1
بوكرامي	Būkarāmī	1
الأشبيلي	al-Ashbīli	1
المعلن	al-muʻlan	1
بولد	bi-Wuld	1
اختلاط	ikhtilāṭ	1
الأشجان	al-ashjān	1
بولز	Būlz	1
اختلافات	ikhtilāfāt	1
اختلافهم	ikhtilāfihim	1
بولاديان	Būlādiyān	1
اختلال	Ikhtilāl	1
بوكالة	bi-wakālah	1
بوفيات	bi-wafayāt	1
بوفوار	Būfwār	1
اخذ	akhadha	1
بوفان	Būfān	1
المني	almanī	1
بوقدوري	Būqaddūrī	1
بوغدان	Bogdan	1
بوغابة	Būghābah	1
بوعيسى	Lbouaissi	1
بالعروة	bi-al-ʻUrwah	1
بوقانا	Būqānā	1
اختياره	ikhtārahu	1
بوكاشيو	Būkāshyū	1
اختياراته	ikhtiyārātihi	1
المعلومي	al-Maʻlūmī	1
بوقي	Būqī	1
بوقوعها	bi-wuqūʻihā	1
بوقنطار	Bū-Qinṭār	1
بوقماز	Būqmāz	1
المعلّم	al-muʻallim	1
المعلوميات	al-maʻlūmīyāt	1
بوقطفة	Būqaṭfah	1
بوقسيمي	Būqasīmī	1
بوقس	Būqiss	1
المعلى	al-muʻallá	1
اختص	khtaṣṣa	1
بوسمة	Bawsamah	1
بيكسال	Pixel	1
بيكر-هاملتون	Baykar-Hāmiltūn	1
بيكبدر	Beigbeder	1
المعراري	al-Miʻbarī	1
المعراوي	al-Maʻarrāwī	1
بيكو	Bīkū	1
الأشنانداني	al-Ushnāndānī	1
بيقولوا	Biyqūlū	1
بيعته	bayʻatuh	1
بيعة	Bayʻat	1
احياى	Iḥyā	1
احيبء	iḥyāʼ	1
بيكن	Baykun	1
بيكولسكا	Pīkūlskā	1
الأشموني	al-Ushmūnī	1
المعذبون	al-Muʼadhdhabūn	1
بيللو	Yādūdūd	1
بيلكه	Bīlkih	1
بيلكة	Bīlkah	1
بيلسان	Bīlsān	1
بيلاوي	Biyalāwī	1
بيكيت	Bīkīt	1
بيلاني	Bīlānī	1
المعذبين	al-muʻadhdhabīn	1
المنيب	al-Munīb	1
المعذوي	al-Mughadhdhawī	1
احياساف	Aḥīʼāsāf	1
بالظني	bi-al-ẓannī	1
بيسووو	Bīsūuu	1
بيسومي	Baysūmī	1
بيسشه	Bysshe	1
بالظهران	bi-al-Ẓahrān	1
بيشوف	Bīshūf	1
بالعادات	bi-al-ʻĀdāt	1
بيزاني	Bīzānī	1
بيرين	Bīrayn	1
بيريفان	Bīrīfān	1
بيشكر	Bīshakar	1
بيشون	Pichon	1
احيدب	Uḥaydib	1
بالطين	bi-al-ṭīn	1
احکام	Aḥkām	1
اسلمونت	Esslemont	1
بالطيران	bi-al-ṭayarān	1
بالظاهر	bi-al-Ẓāhir	1
بيضانى	Bayḍānī	1
الأشمندريت	al-Arishmandarīt	1
الأشلم	al-Ashlam	1
المعدينية	al-Maʻdinīyah	1
بيريت	Bīrīt	1
احوالهم	aḥwālihim	1
احوالم	aḥwālihim	1
احواله	ahwālihī	1
بيهق	Bayhaq	1
احوالها	aḥwālihā	1
بينيتو	Bīnītū	1
بالطف	bi-al-ṭiff	1
احور	aḥwar	1
المنية	al-munyah	1
بينوب	Binyūb	1
احوص	Aḥwaṣ	1
بيهود	bi-Yahūd	1
الأشواك	al-ashwāk	1
بيوع	Buyūʻ	1
احنا	Iḥnā	1
بيوسيكولوجية	biyūsīkūlūjīyah	1
الأشوري	al-Āshūrī	1
بيور	Biyūr	1
المعجمين	al-muʻjamayn	1
المعداني	al-Maʻdānī	1
المعجنات	al-muʻajjanāt	1
المعجونات	al-maʻjūnāt	1
المعحم	al-Muʻjam	1
المعد	al-muʻidd	1
المعدات	al-muʻiddāt	1
المعدان	al-Miʻdān	1
احول	aḥwal	1
بيليقران	Bīlīqrān	1
المعدني	al-maʻdinī	1
بالطلاق	bi-al-ṭallāq	1
بيميني	bi-yamīnī	1
بيمن	Bīmin	1
بيمارستان	bīmāristān	1
المعدلات	al-muʻaddalāt	1
الأشهور	al-ashhūr	1
بينما	Baynamā	1
بينت	buyyinat	1
بينايى	Bīnāyá	1
بينايون	Bīnāyūn	1
الأشهبي	al-Ashhabī	1
بينا	bīnā	1
بيانل	Biyalī	1
بيتا	baytan	1
المعزى	al-Muʻizzī	1
اخترته	ikhtartuhu	1
بيتاً	baytan	1
المعزية	al-Muʻazzīyah	1
بيتار	Bītar	1
بيتروفيج	Bītarūfīj	1
اخترقت	ikhtaraqat	1
اخترقن	ikhtaraqna	1
بيتريوس	Bīrītūs	1
المعسكر	al-Muʻaskar	1
بيجن	Bījin	1
بيجان	Bījān	1
الأشعريين	al-Ashʻarīyīn	1
المعزوز	al-Maʻzzūz	1
بيتنا	baytinā	1
بيتونيا	Baytūniyā	1
بيتوشي	Baytūshī	1
بيتهوفن	Bītʹhūfin	1
بيتها	baytihā	1
المعزوفات	al-maʻzūfāt	1
بيجوري	Bājūrī	1
بيبقو	bi-yabqū	1
بيبرص	Baybarṣ	1
اختشوا	ikhtashū	1
بيبتسم	bi-yabtasim	1
المعصر	al-muʻāṣir	1
المنيارى	al-Manyārī	1
بيبلوغرافي	bīblūghrāfī	1
بياوي	Bayyāwī	1
الأشعب	al-Ashʻab	1
بيانو	Biyānū	1
بيانه	bayānuhu	1
بيبلوغرافيا	Bibliyūghrāfiyā	1
الأشعرى	al-Ashʻarī	1
بيبليوغراپهيا	bīblīyūghrāphyā	1
بيبليوغرافية	bībliyūghrāfiyah	1
بيبليوغرافيات	Bibliyūghrāfīyat	1
المعشقة	al-muʻashshaqah	1
اختزال	ikhtizāl	1
بيبليوغرافي	bībliyūghrāfī	1
بيبليوجرافية	bibliyūgrāfiyā	1
بيبلوغرافية	bīblūghrāfīyah	1
بيرقن	Bīrqin	1
بيرند	Bīrnd	1
بيرماني	Bīrmānī	1
اختبار	ikhtibār	1
بالعارض	bi-al-ʻĀriḍ	1
بيرفكت	Bīrfikt	1
بيرسون	Bīrsūn	1
بيرس	Bīrs	1
اختتام	Ikhtitām	1
بيرديكو	Bīrdīkū	1
بيرت	Bayrut	1
الأشكوري	al-Ashkūrī	1
اختارة	ikhtārah	1
بالعاديات	bi-al-ʻĀdiyāt	1
بيروتنا	Bayrūtunā	1
بيروتImprint	varies	1
بيروت-كانون	Bayrūt-Kānūn	1
الأشقري	al-Ashqarī	1
بيروت-برلين-بيروت	Bayrūt-Birlīn-Bayrūt	1
بيروت-باريس-تل	Bayrūt-Bārīs-Tall	1
بيروت-البوريباج	Bayrūt-al-Būrīfāj	1
بيجين	Bījīn	1
المعروفين	al-maʻrūfīn	1
بيدبا	baydabā	1
بيداويد	Bīdāwīd	1
بيداغوجية	bīdāghūjīyat	1
المعروفتين	al-maʻrūfatayn	1
المعرى	al-Maʻarrī	1
بيدا	baydā	1
بيحيى	li-Yaḥyá	1
المعروفي	al-Maʻrūfī	1
بيرانديللو	Pirandello	1
بيديك	bi-yadayk	1
بالعاصمة	bi-al-ʻĀṣimah	1
بيرام	Bīrām	1
بيراع	bīrāʻ	1
بيرا	Bīrā	1
اختر	Akhtar	1
بيديوي	Bīdīwī	1
بيدي	bi-yadī	1
بيدرو	Bīdrū	1
بيدهام	Bīdhām	1
بيده	bi-yadihi	1
اختراع	Ikhtirāʻ	1
بوسنايا	Būsanāyā	1
الأسيل	al-Asīl	1
بنيت	Binīt	1
بنيحى	Bin-Yayḥī	1
بنيجيريا	bi-Nayjīriyā	1
بنيتو	Binītū	1
بنيتها	binyatuhā	1
بالعنوان	bi-al-ʻunwān	1
المغيبون	al-Mughayyabūn	1
الأسلمة	al-Aslamah	1
ادبيا	adabīyan	1
بالعنف	Bi-al-ʻunf	1
المغيثة	al-Mughīthah	1
بنين	banīn	1
بنيغازي	Banīghāzī	1
بنيش	Binīsh	1
ادبة	Adabat	1
بنيدير	Banīdīr	1
المغيدي	al-Maghīdī	1
المغنين	al-mughannīyīn	1
المفاجأة	Mufājaʼah	1
بنوك-تأمين-نقل	bunūk-taʼmīn-naql	1
المغيزوي	al-Mughayzawī	1
بنوري	Bannūrī	1
المغيض	al-Maghīḍ	1
بالعهود	bi-al-ʻuhūd	1
المفاجئ	al-mufājiʼ	1
بنوحيها	bi-nawāḥīhā	1
المفاجىء	al-mufājiʼ	1
المغيزل	al-Mughayzil	1
المغيرين	al-mughīrīn	1
المغير	al-mughayyir	1
الأسلامى	al-Islāmī	1
بنيات	bunyāt	1
بنيابة	bi-niyābat	1
ادبية-طبية	adabīyah-ṭibbīyah	1
ادبيوري	Idbiyūrī	1
ادة	Iddah	1
بالعهد	bi-al-ʻahd	1
المغوش	al-Maghūsh	1
بنيوي	binyawī	1
بنوازل	bi-Nawāzil	1
الأراجوز	al-Arājūz	1
المغلوبون	al-Maghlūbūn	1
المغلوبين	al-maghlūbīn	1
ادائرة	Dāʼirat	1
الأسلوبى	al-uslūbī	1
المغلوطة	al-maghlūṭah	1
ادائهم	adāʼuhum	1
المغلوب	al-maghlūb	1
اداب	adāb	1
المغمور	al-maghmūr	1
المغمورة	al-maghmūrah	1
المغمورون	al-Maghmūrūn	1
بهاروند	Bahārvand	1
المغلوبة	al-maghlūbah	1
ادئيه	adʻiyah	1
المغمورين	al-maghmūrīn	1
المغلقات	al-mughallaqāt	1
الأسمار	al-asmār	1
اد	ad	1
بهدوء	bi-hudūʼ	1
بهدل	Bahdal	1
بهداد	Bihdād	1
بهد	Fahd	1
بهختيار	Bextiyar	1
بهجي	Bahjī	1
بهجى	Bahjī	1
الأسليمي	al-Aslīmī	1
بهجن	Bahjat	1
بهارات	buhārāt	1
بنگهى	Bingey	1
ادارت	idārat	1
بالعمولة	bi-al-ʻumūlah	1
اداره	Idārah	1
بالعناصر	bi-al-ʻanāṣir	1
اداري	idārī	1
المغنيسي	al-Maghnīsī	1
بنڤردان	Binvirdān	1
ادام	adāma	1
المغناة	al-mughannāh	1
بهائي	Bahāʼī	1
ادات	ādāt	1
المغناطيسي	al-maghnāṭīsī	1
اداجيو	Adājiyū	1
المغنون	al-Mughannūn	1
المغنى	al-Mughnī	1
بهائيية	Bahāʼīyah	1
بالعملية	bi-al-ʻamalīyah	1
ادار	adāra	1
ادارات	Idārāt	1
بنوة	bunuwat	1
بنوار	Binwār	1
بهرائجي	Bahrāʼijī	1
ادعاء	iddiʻāʼ	1
المفجرين	al-mufajjirīn	1
المفحم	al-mufḥam	1
بنظيره	bi-naẓīrihi	1
بنعديلات	bi-taʻdīlāt	1
بالغة	bālighah	1
المفخم	al-Mufakhkham	1
بنظرها	bi-naẓarihā	1
بنظرة	bi-naẓratin	1
بنظام	bi-niẓām	1
بالغائها	bi-ilghāʼihā	1
المفتى	al-Muftī	1
بنظارة	bi-naẓārat	1
بنعم	bi-niʻam	1
بنعودة	Binʻawdah	1
بنعمرو	Binʻamr	1
بالعين	bi-al-ʻAyn	1
بالعينة	bi-al-ʻayyinah	1
بنعمارة	Biniʻmārah	1
المفتونين	al-maftūnīn	1
بالعيون	bi-al-ʻUyūn	1
بنعزيز	Binʻazīz	1
بالغ	bāligh	1
ادغار	Idghār	1
ادعى	iddaʻá	1
المفربي	al-Maghribī	1
المفرج	al-mufarrij	1
بنشقرون	Binshaqrūn	1
بنشرة	Bin-Shirrah	1
ادفيك	Idvīk	1
بنسيلڤينيا	Binsīlvīnyā	1
بالغتين	bi-al-lughatayn	1
المفرب	al-Maghrib	1
بنصف	Bi-niṣf	1
المفدى	al-Mufaddá	1
بنطالب	Binṭālib	1
المفراح	al-Mifrāḥ	1
بنصه	bi-naṣṣihi	1
بنشنهو	Binshanhū	1
بنصره	bi-naṣrihi	1
ادعاءات	iddʻāʼāt	1
ادعوا	iddaʻū	1
بنشيخة	Binshaykhah	1
بنعيادي	Binʻayādī	1
بالعون	bi-al-ʻawn	1
المفازة	al-Mafāzah	1
المفاسد	al-mafāsid	1
بالعيب	bi-al-ʻayb	1
المفاعيل	al-mafāʻīl	1
بنمادهج	bi-namādhij	1
بنلفقيه	Binlafaqīh	1
المفاريد	al-Mafārīd	1
المفاهيم-طرق	al-mafāhīm-ṭuruq	1
بنلباه	Bin-Labāh	1
بنكيران	Binkīrān	1
بنكية	bankīyah	1
بنكوي	Bankawī	1
بالعيان	bi-al-ʻiyān	1
ادرار	Idrār	1
بنهاية	bi-nihāyah	1
بنوا	banū	1
ادخل	adkhala	1
الأسلامبة	al-Islāmīyah	1
المفارق	al-mufāriq	1
ادخلت	udkhilat	1
بننصر	Bin-Naṣr	1
بالعيادة	bi-al-ʻīyādah	1
الأسلاك	al-aslāk	1
بنكهۍ	Binkey	1
المفاوض	al-mufāwiḍ	1
بنفحات	bi-nafḥāt	1
بنفسه	bi-nafsihi	1
بنفسجية	banafsajīyah	1
بنفسجة	Banafsajat	1
المفترضة	al-muftaraḍah	1
المفترق	al-muftariq	1
ادرنوي	Adranawī	1
المفترون	al-Muftarūn	1
المفتتح	al-muftataḥ	1
بنفائس	bi-nafāʼis	1
بنغازية	Banghāzīyah	1
الأسكندري	Iskandarī	1
بنغازى	Banghāzī	1
المفتري	al-muftará	1
المفترية	al-muftarīyah	1
ادرة	Idārat	1
الأسكيا	al-Askiyā	1
المنوفى	al-Manūfī	1
بنكراس	Binkarās	1
المفاوضة	al-Mufāwaḍah	1
المفاوضه	al-Mufāwaḍāh	1
بنكةى	Binkey	1
بنقابة	bi-Niqābat	1
المنوعة	al-mamnūʻah	1
المفتاحي	al-Miftāḥī	1
ادران	adrān	1
بنقل	bi-naql	1
بنقض	bi-naqḍ	1
بنقدور	Binqaddūr	1
بهراء	Bahrāʼ	1
بالعقار	bi-al-ʻaqār	1
بورتريهات	Būrtrayhāt	1
بورزام	Būrzām	1
بورجيه	Būrjīh	1
بورتو	Būrtū	1
بورتريه	Būrtrīh	1
بورتر	Porter	1
بورتاليس	Pourtalès	1
بالعلاقات	bi-al-ʻalaqāt	1
بورستين	Boorstīn	1
اخطر	akhṭar	1
بورغا	Būrghā	1
بورقادي	Būrqādī	1
بورق	bi-waraq	1
بورفيريا	Būrfīriyā	1
المعيلات	al-muʻīlāt	1
بالعلا	bi-al-ʻUlā	1
بورشهيد	Būrshahīd	1
بورسلي	Būrsalī	1
المعينا	al-Maʻīnā	1
المعينية	al-maʻīnīyah	1
بوخريسة	Būkhuraysah	1
بودالي	Būdālī	1
المغاربيون	al-Maghāribīyūn	1
المغارة	al-Maghārah	1
بوخريص	Būkharīṣ	1
بودشيشة	Būdshīshah	1
بوخالفة	Būkhālifah	1
بوخاري	Būkhārī	1
بوخاردت	Būkhārdit	1
بوحيرد	Būḥurayd	1
المغارسة	al-mughārasah	1
المغارف	al-maʻārif	1
بوحميدي	Būḥumaydī	1
المغارب	al-maghārib	1
اخفقة	akhfaqat	1
بورا	Būrā	1
اخفقت	akhfaqat	1
اخفقنا	akhfaqanā	1
المغادرين	al-mughādirīn	1
المغار	al-Maghār	1
المغاربيات	al-Maghāribīyāt	1
الأسواء	al-aswāʼ	1
بودمار	Būdmār	1
الأسودي	al-Aswadī	1
بورقيبية	Bourguiba	1
بوحريد	Buḥurayd	1
المعوذتين	al-Muʻawwidhatayn	1
بوسائط	bi-wasāʼiṭ	1
بوزيري	Būzīrī	1
بوزيرة	būzayrah	1
الأسيدي	al-Usayyidī	1
بوسالمي	Būsālimī	1
المعوشرجي	Maʻwasharjī	1
الأسياذ	al-Ustādh	1
بوسالم	Būsālim	1
بوسان	Būsān	1
بوزلوم	būzallūm	1
المعنيون	al-Maʻnīyūn	1
بوسعيدية	Būsaʻīdīyah	1
اخرجه	akhrajahu	1
بوسعادة	Būsaʻādah	1
اخرجها	akhrajuhā	1
المعوج	al-miʻwajj	1
بوسطالات	būsṭālāt	1
بوسطاجيات	Būsṭājīyāt	1
اخرجوا	Akhrajū	1
بوست	Būst	1
المعولم	al-maʻawlam	1
بوزلافة	Būzlāfah	1
بوريك	Bawarrīk	1
اخطائه	akhṭāʼihi	1
بورويبة	Būruwaybah	1
بالعقل	bi-al-ʻaql	1
بوروز	Būrūz	1
بورينع	Būrīng	1
المنولوج	al-munūlūj	1
المعيدين	al-muʻīdīn	1
اخطاب	Ikhṭāb	1
بوركينا	Būrkīnā	1
بوركي	Būrkī	1
بالعكس	bi-al-ʻaks	1
بورينغ	Bawirīngh	1
اخضر	akhḍar	1
بالعقد	bi-al-ʻaqd	1
بوزرجمهرى	Būzurjmihrī	1
بوزبع	Būzabaʻ	1
المعىنية	al-muʻīnīyah	1
الأسياد	al-Asyād	1
المعياري	al-miʻyārī	1
بورڤعة	Būrivʻah	1
المعيارية	al-miʻyārīyah	1
اسلايلي	Islāylī	1
بهرار	Buhrār	1
بهيأة	bi-Hayʼat	1
المغرب-أسواق	al-Maghrib-aswāq	1
اخوة	Ikhwat	1
بهيتة	Bahītah	1
اخوت	Akhwat	1
المغرب-يهود	al-Maghrib-Yahūd	1
اخوندي	Akhawandī	1
بهيئات	bi-hayʼāt	1
المغربلين	al-Mugharbilīn	1
بهوپل	Bhūpal	1
المغربى	al-Maghribī	1
اخواننا	ikhwāninā	1
بهيقى	Bayhaqī	1
بهواء	Bi-hawāʼin	1
بواحات	bi-wāḥāt	1
المغذية	al-mughadhdhīyah	1
الأذن	al-udhun	1
الأسمرية	al-Asmarīyah	1
بوائل	bi-Wāʼil	1
بوائق	bawāʼiq	1
بوأه	bawwaʼahu	1
بهو	bahw	1
بهلوان	Bahlawān	1
الأراء	al-Arāʼ	1
المغرس	al-mugharras	1
المغرقة	al-mughraqah	1
بهسان	Bīsān	1
اخيضر	Ukhaidir	1
المغريبة	al-Maghribīyah	1
المغطى	al-mughaṭṭá	1
بهريز	Bihrīz	1
بهرهمند	Bahrahʹmand	1
بهرمجدون	bi-Harmajiddūn	1
بهراني	Baḥrānī	1
بهنسى	Bahnassi	1
بهنساوى	Bahnasāwī	1
بهنان	Bihnān	1
اخياء	Akhyāʼ	1
المغربي̄ة	al-Maghribiȳah	1
المغربيات	al-Maghribīyāt	1
اخير	akhīr	1
اخيرا	akhīran	1
بوحدة	bi-Waḥdat	1
بوجداد	Būjaddād	1
بوجديدي	Būjadīdī	1
المغانم	al-Maghānim	1
الأسنة	al-Asinnah	1
المغاوير	al-maghāwīr	1
المغاير	al-mughāyir	1
المغامسي	al-Mughāmsī	1
بوثوري	Būthūrī	1
المغايرة	al-Mughāyarah	1
بوجرة	Būjarrah	1
بوجرفاوي	Būjrafāwī	1
المغبشي	al-Maghbashī	1
اخلاقا	akhlāqan	1
المغامر	al-Mughāmir	1
الأسنوي	al-Isnawī	1
بوحا	bawhan	1
المغامرتين	al-mughāmaratayn	1
بوجيدة	Būjīdah	1
بوجليه	Bouglé	1
اخلاقنا	Akhlāqunā	1
بوجو	Būjū	1
بوجهة	bi-wijhah	1
اخلاقه	akhlāquh	1
بوجمعة	Būjumʻah	1
المغدورة	al-maghdūrah	1
بواعثه	bawāʻithuhu	1
بواكيره	bawākīrihi	1
المغتصبات	al-mughtaṣabāt	1
بواقي	bawāqī	1
المغتصبة	al-mughtaṣabah	1
بواعث	Bawāʻith	1
بواّبة	Bawwābat	1
بواسطتي	bi-wāsiṭatay	1
اخنوخ	Ukhnūkh	1
بوارق	Bawāriq	1
اخوال	akhwāl	1
المغتفر	al-mughtafar	1
بواّب	Bawwāb	1
اخناتون	Akhnātūn	1
بوتشر	Butcher	1
بوبيللو	būbyillū	1
بوترعة	Būtarʻah	1
بوترا	Būtrā	1
بوتر	Būttir	1
اخلع	Ikhlaʻ	1
بوتابيكا	Būtābīkā	1
المغتالون	al-Mughatālūn	1
بالعلامه	bi-al-ʻAllāmah	1
المغتربات	al-mughtaribāt	1
الأسناء	al-Asnāʼ	1
الأسمى	al-Asmá	1
بعمدة	bi-ʻUmdat	1
جزان	Jāzān	1
ارموى	Urmawī	1
المنحصرة	al-munḥaṣirah	1
المنحنى	al-munḥaná	1
بحارنا	Biḥārinā	1
بحارة	bi-ḥārat	1
بحار-الدقل-المرفأ	baḥḥār-al-Daqal-al-Marfaʼ	1
استقر	istaqarra	1
المنحوتات	al-manḥūtāt	1
بحاخامخانه	bi-Ḥākhāmkhānah	1
بحاجي	bi-Ḥājjī	1
المنحول	al-manḥūl	1
بجيري	Bujayrī	1
المنحي	al-Manḥá	1
المنحرفون	al-munḥarifūn	1
المنحدر	al-munḥadar	1
بحته	baḥtah	1
المنجّد	al-Munajjid	1
بحبوحة	baḥbūḥat	1
استقدام	Istiqdām	1
المنحا	al-Manhā	1
المنحج	al-manhaj	1
بحاسة	bi-ḥāssat	1
بحالتي	bi-ḥālataī	1
بحالة	bi-ḥālat	1
بحاضرة	bi-ḥāḍirat	1
الأردنى	al-Urdunī	1
بجيت	Bejjīt	1
المنخورة	al-Mankhūrah	1
بجموع	bi-Jammūʻ	1
بجملة	bi-jumlah	1
بجمل	bi-jumal	1
المندمج	al-mundamij	1
بجناح	bi-janāḥ	1
المندوبون	al-Mandūbūn	1
المندوبين	al-mandūbīn	1
بجمالية	bi-Jamālīyat	1
المندلعة	al-mundaliʻah	1
بالمحافظة	bi-al-muḥāfaẓah	1
المندائي	al-Mandāʼī	1
بجوائز	bi-jawāʼiz	1
بجوث	Buḥūth	1
الأردناة	al-Urdunīyah	1
المندائية-الارامية	al-Mandāʼīyah-al-Arāmīyah	1
الأردن-من	al-Urdun-min	1
المندب	al-Mandab	1
بجنينة	bi-jinīnat	1
بجنوري	Bajnūrī	1
بجنوردي	Bujnūrdī	1
بجنوح	bi-junūḥ	1
بجنوبه	bi-janūbih	1
المندسة	al-mundassah	1
بحتوري	Buḥturī	1
بحريق	bi-ḥarīq	1
بحسن	bi-Ḥasan	1
بحريني	Baḥraynī	1
بحرين	Baḥrayn	1
بالمجمع	bi-al-Majmaʻ	1
استفادات	istifādāt	1
بالمجلي	bi-al-Mujlī	1
استعملته	astaʻmalatuhu	1
بحكام	bi-ḥukkām	1
بحقيق	taḥqīq	1
بحقوقنا	bi-ḥuqūqinā	1
بحقائق	bi-ḥqāiq	1
بحش	Baḥsh	1
بحظر	bi-ḥaẓr	1
بحضور	bi-ḥuḍūr	1
المنجا	al-manjā	1
بحضرة	bi-ḥaḍrat	1
بحضارة	bi-ḥaḍārat	1
بحصلي	Bayrūtī	1
بحروف	bi-ḥurūf	1
بحثه	baḥathahu	1
المنجية	al-munjiyah	1
بحجة	bi-ḥujjat	1
بحثيه	baḥthīyah	1
استفدته	istafadtuhu	1
بحثون	Baḥassūn	1
بحثاً	baḥthan	1
استفدناه	istafadnāhu	1
استقالة	Istiqālat	1
بحرمة	bi-ḥurmat	1
بحرب	bi-Ḥarb	1
بحرم	bi-Ḥaram	1
بحركة	bi-ḥarakat	1
المنجمي	al-Manjamī	1
بحرك	baḥruki	1
المنجور	al-Manjūr	1
المنجوري	Manjūrī	1
الأردني-الاسرائيلي	al-Urdunī-al-Isrāʼīlī	1
بحراوى	al-Baḥrāwī	1
استفادتهما	istifādatihimā	1
بحرالعلوم	Baḥr-alʻUlūm	1
استفدت	istafadtu	1
بجلي	Bajalī	1
بجلاتي	Bajalātī	1
المندوس	al-Mandūs	1
بتقي	bi-Taqī	1
بتكملة	bi-takmilat	1
بتكفير	bi-takfīr	1
بتقسيم	bi-taqsīm	1
بتلاته	batalātuh	1
بتقريظ	bi-taqrīẓ	1
بتقرير	bi-taqrīr	1
بالمحب	bi-al-Muḥibb	1
الأرحيم	al-Irḥayyim	1
المنسوبين	al-mansūbīn	1
بتقدمة	Bi-taqdimat	1
بتقدم	bi-taqaddum	1
بتكوين	bi-takwīn	1
بتلخيص	bi-talkhīṣ	1
بتفعيله	bi-tafʻīlih	1
بالمحامين	bi-al-muḥāmīn	1
المنستير	al-Munastīr	1
